  
       XFOIL         Version 6.99
  
 Calculated polar for: E475  (15.01%)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.667 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -17.000  -1.3423   0.04314   0.03816  -0.0523   1.0000   0.0288
 -16.500  -1.3716   0.03458   0.02943  -0.0546   1.0000   0.0326
 -16.000  -1.3780   0.02989   0.02457  -0.0536   1.0000   0.0356
 -15.500  -1.3724   0.02674   0.02127  -0.0512   1.0000   0.0378
 -15.000  -1.3605   0.02441   0.01878  -0.0480   1.0000   0.0408
 -14.500  -1.3532   0.02208   0.01648  -0.0434   1.0000   0.0501
 -14.000  -1.3352   0.02055   0.01487  -0.0391   1.0000   0.0545
 -13.500  -1.3131   0.01940   0.01360  -0.0347   1.0000   0.0584
 -13.000  -1.2963   0.01837   0.01250  -0.0287   1.0000   0.0656
 -12.500  -1.2985   0.01756   0.01173  -0.0188   1.0000   0.0732
 -12.000  -1.2924   0.01690   0.01107  -0.0100   1.0000   0.0797
 -11.500  -1.2700   0.01630   0.01039  -0.0040   1.0000   0.0839
 -11.000  -1.2452   0.01552   0.00961   0.0014   1.0000   0.0949
 -10.500  -1.2157   0.01485   0.00900   0.0060   1.0000   0.1054
 -10.000  -1.1801   0.01440   0.00850   0.0097   1.0000   0.1100
  -9.500  -1.1447   0.01381   0.00789   0.0134   1.0000   0.1214
  -9.000  -1.1065   0.01330   0.00749   0.0165   1.0000   0.1374
  -8.500  -1.0459   0.01311   0.00730   0.0153   0.9978   0.1471
  -8.000  -0.9829   0.01264   0.00697   0.0135   0.9945   0.1637
  -7.500  -0.9158   0.01241   0.00675   0.0111   0.9900   0.1715
  -7.000  -0.8377   0.01226   0.00656   0.0065   0.9861   0.1757
  -6.500  -0.7638   0.01183   0.00611   0.0028   0.9784   0.1830
  -5.500  -0.5679   0.01062   0.00500  -0.0144   0.9674   0.2088
  -5.000  -0.5182   0.01041   0.00479  -0.0127   0.9581   0.2137
  -4.500  -0.4488   0.01013   0.00451  -0.0151   0.9511   0.2161
  -4.000  -0.3852   0.00953   0.00393  -0.0163   0.9430   0.2294
  -3.500  -0.3388   0.00908   0.00352  -0.0138   0.9265   0.2424
  -3.000  -0.2864   0.00871   0.00319  -0.0124   0.9047   0.2511
  -2.500  -0.2332   0.00844   0.00286  -0.0110   0.8603   0.2577
  -2.000  -0.1852   0.00855   0.00244  -0.0085   0.7196   0.2655
  -1.500  -0.1424   0.00872   0.00230  -0.0055   0.6003   0.2885
  -1.000  -0.0961   0.00898   0.00226  -0.0034   0.5028   0.3033
  -0.500  -0.0483   0.00908   0.00221  -0.0016   0.4305   0.3335
   0.000   0.0001   0.00919   0.00221  -0.0000   0.3704   0.3697
   0.500   0.0484   0.00908   0.00221   0.0016   0.3336   0.4304
   1.000   0.0961   0.00898   0.00226   0.0034   0.3034   0.5032
   1.500   0.1424   0.00872   0.00230   0.0055   0.2884   0.6001
   2.000   0.1851   0.00855   0.00244   0.0085   0.2650   0.7203
   2.500   0.2333   0.00844   0.00286   0.0110   0.2577   0.8610
   3.000   0.2865   0.00871   0.00318   0.0124   0.2514   0.9044
   3.500   0.3387   0.00907   0.00351   0.0138   0.2424   0.9257
   4.000   0.3851   0.00953   0.00393   0.0164   0.2293   0.9431
   4.500   0.4490   0.01013   0.00451   0.0151   0.2161   0.9512
   5.000   0.5178   0.01043   0.00480   0.0128   0.2139   0.9581
   5.500   0.5673   0.01062   0.00500   0.0145   0.2089   0.9674
   6.000   0.6609   0.01107   0.00540   0.0068   0.2001   0.9703
   6.500   0.7637   0.01185   0.00612  -0.0028   0.1823   0.9785
   7.000   0.8372   0.01225   0.00655  -0.0064   0.1757   0.9861
   7.500   0.9161   0.01240   0.00673  -0.0111   0.1716   0.9901
   8.000   0.9829   0.01264   0.00696  -0.0135   0.1638   0.9945
   8.500   1.0460   0.01313   0.00731  -0.0153   0.1461   0.9979
   9.000   1.1064   0.01329   0.00747  -0.0165   0.1366   1.0000
   9.500   1.1444   0.01381   0.00789  -0.0134   0.1206   1.0000
  10.000   1.1801   0.01439   0.00848  -0.0097   0.1099   1.0000
  10.500   1.2156   0.01484   0.00899  -0.0060   0.1054   1.0000
  11.000   1.2460   0.01547   0.00960  -0.0015   0.0970   1.0000
  11.500   1.2701   0.01629   0.01038   0.0040   0.0842   1.0000
  12.000   1.2923   0.01690   0.01106   0.0100   0.0796   1.0000
  12.500   1.2983   0.01756   0.01173   0.0188   0.0730   1.0000
  13.000   1.2963   0.01839   0.01251   0.0287   0.0650   1.0000
  13.500   1.3138   0.01940   0.01359   0.0345   0.0581   1.0000
  14.000   1.3368   0.02050   0.01484   0.0389   0.0551   1.0000
  14.500   1.3545   0.02207   0.01645   0.0432   0.0499   1.0000
  15.000   1.3621   0.02439   0.01876   0.0477   0.0407   1.0000
  15.500   1.3751   0.02666   0.02119   0.0509   0.0381   1.0000
  16.000   1.3776   0.03005   0.02469   0.0533   0.0341   1.0000
  16.500   1.3682   0.03512   0.02991   0.0541   0.0308   1.0000
  17.000   1.3423   0.04347   0.03845   0.0517   0.0277   1.0000
