  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2410                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.750 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2965   0.01167   0.00616  -0.0527   0.9594   0.0375
  -4.750  -0.2632   0.01135   0.00584  -0.0543   0.9555   0.0390
  -4.500  -0.2313   0.01116   0.00569  -0.0555   0.9497   0.0415
  -4.250  -0.2071   0.01050   0.00495  -0.0546   0.9417   0.0408
  -4.000  -0.1791   0.00987   0.00421  -0.0544   0.9226   0.0399
  -3.750  -0.1505   0.00941   0.00362  -0.0544   0.8978   0.0390
  -3.500  -0.1259   0.00910   0.00322  -0.0536   0.8745   0.0383
  -3.250  -0.1017   0.00893   0.00281  -0.0527   0.8149   0.0377
  -3.000  -0.0751   0.00874   0.00254  -0.0526   0.7930   0.0371
  -2.750  -0.0485   0.00859   0.00230  -0.0525   0.7750   0.0366
  -2.500  -0.0229   0.00854   0.00207  -0.0521   0.7409   0.0361
  -2.250   0.0028   0.00851   0.00187  -0.0517   0.7006   0.0357
  -2.000   0.0299   0.00841   0.00172  -0.0518   0.6886   0.0352
  -1.750   0.0562   0.00841   0.00159  -0.0516   0.6622   0.0348
  -1.500   0.0811   0.00850   0.00147  -0.0512   0.6207   0.0345
  -1.250   0.1076   0.00850   0.00136  -0.0511   0.5933   0.0342
  -1.000   0.1336   0.00855   0.00128  -0.0509   0.5654   0.0339
  -0.750   0.1584   0.00873   0.00122  -0.0506   0.5174   0.0336
  -0.500   0.1853   0.00873   0.00116  -0.0506   0.4961   0.0335
  -0.250   0.2123   0.00874   0.00112  -0.0506   0.4845   0.0333
   0.000   0.2377   0.00891   0.00112  -0.0504   0.4479   0.0333
   0.250   0.2630   0.00909   0.00111  -0.0502   0.3962   0.0336
   0.500   0.2888   0.00925   0.00112  -0.0501   0.3655   0.0344
   0.750   0.3134   0.00958   0.00123  -0.0498   0.2964   0.0470
   1.000   0.3389   0.00978   0.00132  -0.0497   0.2684   0.0506
   1.250   0.3631   0.00973   0.00142  -0.0496   0.2370   0.1463
   1.750   0.4067   0.01052   0.00192  -0.0486   0.0518   0.3012
   2.000   0.4322   0.01037   0.00199  -0.0487   0.0459   0.3973
   2.250   0.4575   0.01017   0.00207  -0.0486   0.0429   0.5120
   2.500   0.4823   0.01004   0.00223  -0.0481   0.0291   0.6205
   2.750   0.5055   0.00980   0.00242  -0.0474   0.0290   0.7422
   3.250   0.5663   0.00972   0.00287  -0.0487   0.0292   0.9727
   3.500   0.6040   0.00992   0.00309  -0.0512   0.0295   0.9978
   3.750   0.6313   0.01011   0.00330  -0.0514   0.0297   1.0000
   4.000   0.6556   0.01032   0.00352  -0.0509   0.0300   1.0000
   4.250   0.6801   0.01054   0.00376  -0.0505   0.0303   1.0000
   4.500   0.7046   0.01079   0.00403  -0.0500   0.0307   1.0000
   4.750   0.7291   0.01105   0.00431  -0.0496   0.0310   1.0000
   5.000   0.7535   0.01134   0.00463  -0.0492   0.0314   1.0000
