  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2410                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.900 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.750  -0.2583   0.01060   0.00530  -0.0549   0.9480   0.0370
  -4.500  -0.2333   0.01041   0.00515  -0.0544   0.9357   0.0398
  -4.250  -0.2038   0.00991   0.00453  -0.0546   0.9067   0.0402
  -4.000  -0.1788   0.00942   0.00392  -0.0539   0.8880   0.0390
  -3.750  -0.1549   0.00911   0.00340  -0.0530   0.8373   0.0381
  -3.500  -0.1297   0.00887   0.00301  -0.0525   0.7958   0.0373
  -3.250  -0.1031   0.00865   0.00270  -0.0523   0.7803   0.0366
  -3.000  -0.0777   0.00855   0.00243  -0.0519   0.7463   0.0360
  -2.750  -0.0523   0.00850   0.00219  -0.0515   0.7016   0.0354
  -2.500  -0.0252   0.00837   0.00199  -0.0515   0.6893   0.0349
  -2.250   0.0009   0.00833   0.00183  -0.0513   0.6616   0.0344
  -2.000   0.0257   0.00841   0.00168  -0.0509   0.6149   0.0339
  -1.750   0.0525   0.00835   0.00155  -0.0509   0.5927   0.0335
  -1.500   0.0788   0.00836   0.00144  -0.0508   0.5692   0.0331
  -1.250   0.1037   0.00851   0.00135  -0.0504   0.5214   0.0328
  -1.000   0.1305   0.00851   0.00127  -0.0504   0.4940   0.0324
  -0.750   0.1572   0.00854   0.00121  -0.0504   0.4768   0.0321
  -0.500   0.1824   0.00872   0.00118  -0.0502   0.4349   0.0319
  -0.250   0.2088   0.00880   0.00113  -0.0502   0.3961   0.0317
   0.000   0.2348   0.00893   0.00112  -0.0501   0.3685   0.0315
   0.250   0.2593   0.00927   0.00116  -0.0498   0.2924   0.0315
   0.500   0.2773   0.01055   0.00153  -0.0487   0.0858   0.0315
   0.750   0.3028   0.01082   0.00162  -0.0486   0.0459   0.0318
   1.000   0.3300   0.01086   0.00165  -0.0486   0.0453   0.0449
   1.250   0.3569   0.01090   0.00172  -0.0487   0.0447   0.0481
   1.500   0.3838   0.01095   0.00179  -0.0488   0.0437   0.0507
   1.750   0.4105   0.01096   0.00184  -0.0489   0.0423   0.0688
   2.000   0.4356   0.01049   0.00186  -0.0489   0.0393   0.2507
   2.250   0.4616   0.01037   0.00204  -0.0488   0.0271   0.3394
   2.500   0.4876   0.01026   0.00217  -0.0488   0.0272   0.4199
   2.750   0.5127   0.01003   0.00233  -0.0487   0.0273   0.5429
   3.000   0.5368   0.00978   0.00251  -0.0483   0.0275   0.6716
   3.250   0.5599   0.00960   0.00271  -0.0475   0.0277   0.7881
   3.500   0.5834   0.00950   0.00296  -0.0465   0.0280   0.9351
   3.750   0.6270   0.00971   0.00322  -0.0503   0.0283   0.9920
   4.000   0.6583   0.00993   0.00346  -0.0514   0.0287   1.0000
   4.250   0.6826   0.01015   0.00370  -0.0509   0.0290   1.0000
   4.500   0.7070   0.01039   0.00396  -0.0505   0.0294   1.0000
   4.750   0.7314   0.01066   0.00424  -0.0501   0.0298   1.0000
   5.000   0.7559   0.01094   0.00454  -0.0496   0.0302   1.0000
